title,address,price,duzenle,m2,rooms,furnished
Apartment Bronckhorststraat 28 3,1071 WS Amsterdam (Museumkwartier),"€3,950 per month",100 m²/3 rooms/Furnished,100 m²,3 rooms,Furnished
Apartment Biesboschstraat 48 HS,1078 MX Amsterdam (Scheldebuurt),"€2,975 per month",115 m²/4 rooms/Upholstered or furnished,115 m²,4 rooms,Upholstered or furnished
Apartment Valeriusstraat 7 2,1071 MB Amsterdam (Museumkwartier),"€2,750 per month",139 m²/5 rooms/1906-1930,139 m²,5 rooms,1906-1930
Apartment Herengracht,1017 BX Amsterdam (Grachtengordel-Zuid),"€1,950 per month",45 m²/2 rooms/Furnished,45 m²,2 rooms,Furnished
Studio Groenhoven,"1103 LL Amsterdam (Bijlmer Oost (E,G,K))","€1,075 per month",54 m²/1 room/Upholstered,54 m²,1 room,Upholstered
Apartment Amstel,1017 AM Amsterdam (Grachtengordel-Zuid),"€2,750 per month",82 m²/2 rooms/Furnished,82 m²,2 rooms,Furnished
Apartment Krijn Taconiskade 499 PP,1087 HW Amsterdam (IJburg Zuid),"€2,250 per month",84 m²/3 rooms/Upholstered,84 m²,3 rooms,Upholstered
Apartment Stadhouderskade 142 A,1074 BA Amsterdam (Oude Pijp),"€3,950 per month",157 m²/4 rooms/Upholstered,157 m²,4 rooms,Upholstered
Apartment Linnaeusparkweg,1098 EJ Amsterdam (Middenmeer),"€2,500 per month",75 m²/3 rooms/Furnished,75 m²,3 rooms,Furnished
Apartment Nieuwe Kerkstraat 57 B,1018 DZ Amsterdam (Weesperbuurt/Plantage),"€2,895 per month",108 m²/3 rooms/Furnished,108 m²,3 rooms,Furnished
Apartment Van Breestraat 73 III,1071 ZH Amsterdam (Museumkwartier),"€2,500 per month",64 m²/3 rooms/1899,64 m²,3 rooms,1899
Apartment Wamberg 79,1083 CZ Amsterdam (Buitenveldert-Oost),"€2,450 per month",130 m²/4 rooms/Furnished,130 m²,4 rooms,Furnished
Apartment Singel 402 A,1016 AK Amsterdam (Grachtengordel-West),"€2,850 per month",97 m²/4 rooms/Furnished,97 m²,4 rooms,Furnished
Apartment IJburglaan,1086 XT Amsterdam (IJburg West),"€1,950 per month",100 m²/3 rooms/Furnished,100 m²,3 rooms,Furnished
Apartment Kazernestraat,1018 CD Amsterdam (Weesperbuurt/Plantage),"€2,200 per month",68 m²/2 rooms/1900,68 m²,2 rooms,1900
Apartment Admiraal De Ruijterweg,1056 ET Amsterdam (Geuzenbuurt),"€2,475 per month",66 m²/2 rooms/Furnished,66 m²,2 rooms,Furnished
Apartment Prinsengracht 443 1,1016 HN Amsterdam (Grachtengordel-West),"€3,250 per month",70 m²/3 rooms/1953,70 m²,3 rooms,1953
Apartment Krijn Taconiskade,1087 HV Amsterdam (IJburg Zuid),"€1,950 per month",50 m²/2 rooms/Upholstered,50 m²,2 rooms,Upholstered
Apartment Sarphatipark,1073 CV Amsterdam (Oude Pijp),"€2,000 per month",75 m²/4 rooms/Upholstered,75 m²,4 rooms,Upholstered
Apartment Bilderdijkstraat 97 3,1053 KM Amsterdam (Da Costabuurt),"€3,500 per month",140 m²/5 rooms/Upholstered,140 m²,5 rooms,Upholstered
Apartment Eemsstraat 55 1,1079 TE Amsterdam (Rijnbuurt),"€2,000 per month",55 m²/3 rooms/Upholstered,55 m²,3 rooms,Upholstered
Apartment Minervalaan,1077 NL Amsterdam (Apollobuurt),"€1,950 per month",84 m²/3 rooms/Upholstered,84 m²,3 rooms,Upholstered
Apartment Gerard Doustraat,1072 VJ Amsterdam (Oude Pijp),"€2,400 per month",70 m²/3 rooms/Furnished,70 m²,3 rooms,Furnished
Apartment Witte de Withstraat,1057 XS Amsterdam (Chassébuurt),"€1,975 per month",65 m²/2 rooms/Furnished,65 m²,2 rooms,Furnished
Apartment Amazonenstraat,1076 LK Amsterdam (Stadionbuurt),"€1,700 per month",60 m²/3 rooms/Upholstered,60 m²,3 rooms,Upholstered
Apartment Pieter Baststraat 10 bv,1071 TW Amsterdam (Museumkwartier),"€3,350 per month",122 m²/4 rooms/Upholstered or furnished,122 m²,4 rooms,Upholstered or furnished
Apartment Kikkenstein,"1104 TT Amsterdam (Bijlmer Oost (E,G,K))","€1,895 per month",95 m²/5 rooms/Upholstered,95 m²,5 rooms,Upholstered
Apartment Gerard Doustraat,1073 VW Amsterdam (Oude Pijp),"€2,050 per month",50 m²/2 rooms/Upholstered,50 m²,2 rooms,Upholstered
Apartment Bonaireplein 4 hs,1058 XB Amsterdam (Westindische Buurt),"€3,400 per month",125 m²/4 rooms/Furnished,125 m²,4 rooms,Furnished
Apartment Piet Gijzenbrugstraat,1059 XG Amsterdam (Hoofddorppleinbuurt),"€1,900 per month",60 m²/3 rooms/Furnished,60 m²,3 rooms,Furnished
Apartment Tweede Helmersstraat 8 3,1054 CH Amsterdam (Helmersbuurt),"€3,500 per month",143 m²/4 rooms/Furnished,143 m²,4 rooms,Furnished
Apartment Molukkenstraat,1095 BJ Amsterdam (Indische Buurt Oost),"€1,650 per month",62 m²/3 rooms/35 m²,62 m²,3 rooms,35 m²
Apartment Deurloostraat 61 2,1078 HT Amsterdam (Scheldebuurt),"€2,750 per month",89 m²/3 rooms/Furnished,89 m²,3 rooms,Furnished
Apartment Milletstraat,1077 ZE Amsterdam (Apollobuurt),"€3,100 per month",117 m²/4 rooms/Upholstered,117 m²,4 rooms,Upholstered
Apartment Slangenburg,1082 JV Amsterdam (Buitenveldert-West),"€2,650 per month",120 m²/4 rooms/Furnished,120 m²,4 rooms,Furnished
Apartment President Kennedylaan 24 I,1079 NC Amsterdam (Rijnbuurt),"€2,250 per month",70 m²/4 rooms/Upholstered,70 m²,4 rooms,Upholstered
Apartment Stadhouderskade 142 III,1074 BA Amsterdam (Oude Pijp),"€3,750 per month",149 m²/4 rooms/Before 1906,149 m²,4 rooms,Before 1906
Apartment Hobbemakade,1071 XN Amsterdam (Museumkwartier),"€1,950 per month",50 m²/2 rooms/Furnished,50 m²,2 rooms,Furnished
Apartment Van Breestraat 109 B,1071 ZK Amsterdam (Museumkwartier),"€3,975 per month",137 m²/5 rooms/Upholstered,137 m²,5 rooms,Upholstered
Apartment Frederiksplein 47 D,1017 XL Amsterdam (De Weteringschans),"€3,500 per month",94 m²/4 rooms/Furnished,94 m²,4 rooms,Furnished
Apartment Eerste Goudsbloemdwarsstraat 15 2,1015 JV Amsterdam (Jordaan),"€2,750 per month",83 m²/3 rooms/1934,83 m²,3 rooms,1934
House Amstel,1017 AL Amsterdam (Grachtengordel-Zuid),"€3,900 per month",91 m²/3 rooms/Furnished,91 m²,3 rooms,Furnished
Apartment Henri Zagwijnstraat 14 II,1077 XR Amsterdam (Prinses Irenebuurt e.o.),"€2,350 per month",109 m²/4 rooms/Furnished,109 m²,4 rooms,Furnished
Apartment Groenmarktkade 16,1016 TA Amsterdam (Jordaan),"€3,750 per month",125 m²/3 rooms/Upholstered,125 m²,3 rooms,Upholstered
House Eliza van Calcarstraat 5,1068 RR Amsterdam (Osdorp-Oost),"€2,600 per month",144 m²/4 rooms/Upholstered,144 m²,4 rooms,Upholstered
Apartment Sloestraat 4 I,1078 BG Amsterdam (Scheldebuurt),"€2,950 per month",128 m²/6 rooms/Upholstered,128 m²,6 rooms,Upholstered
Apartment Maria Austriastraat,1087 JC Amsterdam (IJburg West),"€1,675 per month",40 m²/1 room/Furnished,40 m²,1 room,Furnished
House Narva-eiland,1014 ZJ Amsterdam (Houthavens),"€3,250 per month",155 m²/5 rooms/Furnished,155 m²,5 rooms,Furnished
Apartment Haarlemmerplein 30 A,1013 HS Amsterdam (Haarlemmerbuurt),"€3,000 per month",108 m²/3 rooms/Furnished,108 m²,3 rooms,Furnished
Apartment Gerard Doustraat,1073 VW Amsterdam (Oude Pijp),"€2,950 per month",67 m²/2 rooms/Furnished,67 m²,2 rooms,Furnished
Apartment Harry Banninkstraat 17,1011 DD Amsterdam (Nieuwmarkt/Lastage),"€3,000 per month",130 m²/4 rooms/Upholstered or furnished,130 m²,4 rooms,Upholstered or furnished
Apartment Marnixkade,1015 ZG Amsterdam (Jordaan),"€1,550 per month",40 m²/2 rooms/Furnished,40 m²,2 rooms,Furnished
Apartment Willem de Zwijgerlaan 338 F,1055 RD Amsterdam (Landlust),"€2,250 per month",100 m²/4 rooms/Upholstered,100 m²,4 rooms,Upholstered
Apartment Kinkerstraat 90 4,1053 EB Amsterdam (Da Costabuurt),"€1,450 per month",40 m²/2 rooms/1893,40 m²,2 rooms,1893
Apartment Govert Flinckstraat 113 2V,1072 EG Amsterdam (Oude Pijp),"€1,589 per month",35 m²/2 rooms/Furnished,35 m²,2 rooms,Furnished
Apartment Leidsegracht 15 I,1017 NA Amsterdam (Grachtengordel-Zuid),"€4,250 per month",160 m²/4 rooms/Upholstered or furnished,160 m²,4 rooms,Upholstered or furnished
Apartment Brouwersgracht,1015 GA Amsterdam (Grachtengordel-West),"€1,975 per month",77 m²/3 rooms/Upholstered,77 m²,3 rooms,Upholstered
Apartment Riouwstraat,1094 XZ Amsterdam (Indische Buurt West),"€2,200 per month",90 m²/4 rooms/Furnished,90 m²,4 rooms,Furnished
Apartment Amstelveenseweg,1075 XS Amsterdam (Schinkelbuurt),"€2,250 per month",70 m²/3 rooms/Furnished,70 m²,3 rooms,Furnished
Apartment IJburglaan 833,1087 CL Amsterdam (IJburg West),"€2,450 per month",112 m²/3 rooms/Furnished,112 m²,3 rooms,Furnished
Apartment Ternatestraat 18,1095 VL Amsterdam (Indische Buurt Oost),"€1,700 per month",60 m²/2 rooms/1982,60 m²,2 rooms,1982
Apartment Eva Besnyöstraat,1087 KR Amsterdam (IJburg Zuid),"€1,750 per month",89 m²/3 rooms/Furnished,89 m²,3 rooms,Furnished
Apartment Pieter Lastmankade 30 C,1075 KK Amsterdam (Willemspark),"€7,750 per month",207 m²/3 rooms/Upholstered,207 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal,1012 RT Amsterdam (Burgwallen-Nieuwe Zijde),"€6,000 per month",180 m²/4 rooms/Furnished,180 m²,4 rooms,Furnished
Apartment Willem Augustinstraat,1061 MJ Amsterdam (De Kolenkit),"€1,100 per month",32 m²/2 rooms/Upholstered,32 m²,2 rooms,Upholstered
Apartment Admiraal De Ruijterweg,1056 ET Amsterdam (Geuzenbuurt),"€2,475 per month",61 m²/2 rooms/Furnished,61 m²,2 rooms,Furnished
Apartment Omval,1096 HR Amsterdam (Omval/Overamstel),"€2,650 per month",100 m²/3 rooms/Furnished,100 m²,3 rooms,Furnished
Apartment Jan van Duivenvoordestraat,1067 MT Amsterdam (Geuzenveld),"€1,950 per month",95 m²/3 rooms/Upholstered,95 m²,3 rooms,Upholstered
Apartment Vleutenstraat,1106 CX Amsterdam (Gein),"€1,950 per month",70 m²/3 rooms/Furnished,70 m²,3 rooms,Furnished
Apartment Oude Waal,1011 CE Amsterdam (Nieuwmarkt/Lastage),"€2,150 per month",82 m²/3 rooms/Upholstered,82 m²,3 rooms,Upholstered
Apartment Polderweg,1093 KL Amsterdam (Dapperbuurt),"€1,026 per month",57 m²/3 rooms/2023,57 m²,3 rooms,2023
Apartment Lia Doranastraat,1031 HK Amsterdam (Noordelijke IJ-oevers West),"€1,850 per month",50 m²/2 rooms/Furnished,50 m²,2 rooms,Furnished
Apartment Jan Pieter Heijestraat,1053 GT Amsterdam (Van Lennepbuurt),"€2,500 per month",68 m²/3 rooms/Furnished,68 m²,3 rooms,Furnished
Apartment Gerard Doustraat,1073 XD Amsterdam (Oude Pijp),"€1,950 per month",45 m²/2 rooms/Furnished,45 m²,2 rooms,Furnished
Apartment Sportstraat 55 H,1076 TT Amsterdam (Stadionbuurt),"€2,850 per month",75 m²/3 rooms/Upholstered or furnished,75 m²,3 rooms,Upholstered or furnished
Apartment Singel 402 A,1016 AK Amsterdam (Grachtengordel-West),"€2,850 per month",97 m²/4 rooms/Furnished,97 m²,4 rooms,Furnished
House Eliza van Calcarstraat 5,1068 RR Amsterdam (Osdorp-Oost),"€2,600 per month",144 m²/4 rooms/Upholstered,144 m²,4 rooms,Upholstered
Apartment Sint Willibrordusstraat 107 A,1073 VB Amsterdam (Nieuwe Pijp),"€3,150 per month",100 m²/4 rooms/Furnished,100 m²,4 rooms,Furnished
Apartment Zeeburgerdijk,1094 AJ Amsterdam (Indische Buurt West),"€5,500 per month",220 m²/5 rooms/Furnished,220 m²,5 rooms,Furnished
Apartment Zeeburgerpad,1019 DZ Amsterdam (Oostelijk Havengebied),"€1,500 per month",36 m²/2 rooms/Furnished,36 m²,2 rooms,Furnished
Apartment Egelantiersgracht,1015 RS Amsterdam (Jordaan),"€2,400 per month",50 m²/2 rooms/Furnished,50 m²,2 rooms,Furnished
Apartment Van Hilligaertstraat 3 3,1072 JW Amsterdam (Nieuwe Pijp),"€2,900 per month",100 m²/4 rooms/Upholstered,100 m²,4 rooms,Upholstered
Apartment Zeilstraat 4 2,1075 SG Amsterdam (Schinkelbuurt),"€2,100 per month",67 m²/3 rooms/Upholstered,67 m²,3 rooms,Upholstered
Apartment Amstel 124 D,1017 AD Amsterdam (Grachtengordel-Zuid),"€2,100 per month",70 m²/3 rooms/Shell,70 m²,3 rooms,Shell
Apartment Kerkstraat,1017 GN Amsterdam (Grachtengordel-Zuid),"€3,950 per month",150 m²/3 rooms/Furnished,150 m²,3 rooms,Furnished
Apartment Ceintuurbaan,1072 GK Amsterdam (Nieuwe Pijp),"€2,995 per month",71 m²/3 rooms/Furnished,71 m²,3 rooms,Furnished
Apartment Silodam 216,1013 AS Amsterdam (Houthavens),"€2,150 per month",87 m²/2 rooms/Furnished,87 m²,2 rooms,Furnished
Apartment Willemsparkweg,1071 HM Amsterdam (Museumkwartier),"€3,995 per month",171 m²/3 rooms/Upholstered,171 m²,3 rooms,Upholstered
Apartment Prinseneiland,1013 LR Amsterdam (Haarlemmerbuurt),"€2,950 per month",101 m²/2 rooms/Upholstered or furnished,101 m²,2 rooms,Upholstered or furnished
Apartment Eerste Atjehstraat,1094 JX Amsterdam (Indische Buurt West),"€2,200 per month",87 m²/4 rooms/Upholstered,87 m²,4 rooms,Upholstered
Apartment Montfoorthof,1106 JP Amsterdam (Holendrecht/Reigersbos),"€1,700 per month",70 m²/3 rooms/Furnished,70 m²,3 rooms,Furnished
Apartment Galvanistraat 10 HS,1098 NL Amsterdam (Middenmeer),"€2,375 per month",90 m²/3 rooms/Furnished,90 m²,3 rooms,Furnished
Apartment Achtergracht 27 1,1017 WL Amsterdam (De Weteringschans),"€2,995 per month",100 m²/3 rooms/Furnished,100 m²,3 rooms,Furnished
Apartment Leonard Bernsteinstraat 64 C,1082 MR Amsterdam (Zuidas),"€3,650 per month",112 m²/4 rooms/Furnished,112 m²,4 rooms,Furnished
Apartment Eerste Constantijn Huygensstraat 32 C+PP,1054 BR Amsterdam (Helmersbuurt),"€4,950 per month",200 m²/4 rooms/Furnished,200 m²,4 rooms,Furnished
House Krommeniestraat,1013 XL Amsterdam (Spaarndammer- en Zeeheldenbuurt),"€4,000 per month",176 m²/7 rooms/Upholstered or furnished,176 m²,7 rooms,Upholstered or furnished
Apartment Langswater 688,1069 EG Amsterdam (De Punt),"€1,750 per month",71 m²/4 rooms/1969,71 m²,4 rooms,1969
Apartment Fokke Simonszstraat,1017 TE Amsterdam (De Weteringschans),"€3,400 per month",81 m²/2 rooms/Furnished,81 m²,2 rooms,Furnished
House Passeerdersgracht 2,1016 XH Amsterdam (Jordaan),"€2,150 per month",88 m²/5 rooms/Furnished,88 m²,5 rooms,Furnished
Apartment Commelinstraat 250,1093 VD Amsterdam (Dapperbuurt),"€1,650 per month",30 m²/2 rooms/Upholstered or furnished,30 m²,2 rooms,Upholstered or furnished
Apartment Esther de Boer-van Rijkstraat,1065 GN Amsterdam (Slotervaart Zuid),"€1,800 per month",66 m²/3 rooms/Furnished,66 m²,3 rooms,Furnished
Apartment Woubruggestraat,1059 VP Amsterdam (Hoofddorppleinbuurt),"€1,700 per month",57 m²/3 rooms/1906-1930,57 m²,3 rooms,1906-1930
Apartment John Blankensteinstraat,1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep),"€1,550 per month",50 m²/2 rooms/Furnished,50 m²,2 rooms,Furnished
House Nieuwezijds Voorburgwal,1012 RV Amsterdam (Burgwallen-Nieuwe Zijde),"€2,700 per month",90 m²/3 rooms/Furnished,90 m²,3 rooms,Furnished
Apartment Prins Hendriklaan,1075 AZ Amsterdam (Willemspark),"€5,600 per month",127 m²/3 rooms/Upholstered,127 m²,3 rooms,Upholstered
Apartment Jan Pieter Heijestraat,1054 MN Amsterdam (Overtoomse Sluis),"€1,875 per month",55 m²/3 rooms/Upholstered,55 m²,3 rooms,Upholstered
Apartment Prinsengracht 197 B,1015 DT Amsterdam (Grachtengordel-West),"€2,400 per month",65 m²/2 rooms/Furnished,65 m²,2 rooms,Furnished
Apartment Wamberg 79,1083 CZ Amsterdam (Buitenveldert-Oost),"€2,450 per month",130 m²/4 rooms/Furnished,130 m²,4 rooms,Furnished
Apartment Groenmarktkade 16,1016 TA Amsterdam (Jordaan),"€3,750 per month",125 m²/3 rooms/Upholstered,125 m²,3 rooms,Upholstered
House Halteriastraat,1035 VX Amsterdam (Kadoelen),"€1,495 per month",67 m²/4 rooms/Shell,67 m²,4 rooms,Shell
Apartment Waterlandplein,1024 LW Amsterdam (Waterlandpleinbuurt),"€2,200 per month",110 m²/3 rooms/2011-2020,110 m²,3 rooms,2011-2020
Studio Marnixstraat 233 1R,1015 WE Amsterdam (Jordaan),"€1,500 per month",27 m²/2 rooms/Furnished,27 m²,2 rooms,Furnished
Apartment Taksteeg,1012 PB Amsterdam (Burgwallen-Nieuwe Zijde),"€1,850 per month",60 m²/3 rooms/Upholstered,60 m²,3 rooms,Upholstered
Apartment Gustav Mahlerlaan 258,1082 ME Amsterdam (Zuidas),"€8,900 per month",285 m²/5 rooms/Upholstered or furnished,285 m²,5 rooms,Upholstered or furnished
Apartment Van Eeghenstraat 193 B,1071 GD Amsterdam (Museumkwartier),"€8,000 per month",217 m²/7 rooms/Upholstered or furnished,217 m²,7 rooms,Upholstered or furnished
Apartment Stadhouderskade,1054 ES Amsterdam (Vondelbuurt),"€4,950 per month",144 m²/3 rooms/Upholstered or furnished,144 m²,3 rooms,Upholstered or furnished
Apartment Johannes Meewisstraat,1063 CH Amsterdam (Slotermeer-Noordoost),"€1,495 per month",54 m²/3 rooms/Shell,54 m²,3 rooms,Shell
Apartment Bankastraat,1094 EH Amsterdam (Indische Buurt West),"€2,500 per month",75 m²/6 rooms/Furnished,75 m²,6 rooms,Furnished
House Dwergvinvisstraat,1035 HN Amsterdam (Oostzanerwerf),"€2,000 per month",100 m²/4 rooms/Furnished,100 m²,4 rooms,Furnished
Studio Osdorper Ban,1068 MK Amsterdam (Osdorp-Oost),"€1,250 per month",51 m²/1 room/Furnished,51 m²,1 room,Furnished
Apartment Akbarstraat 12 B,1061 DZ Amsterdam (De Kolenkit),"€1,900 per month",60 m²/3 rooms/Furnished,60 m²,3 rooms,Furnished
Apartment Keizersgracht 736 A,1017 EX Amsterdam (Grachtengordel-Zuid),"€7,500 per month",171 m²/4 rooms/Furnished,171 m²,4 rooms,Furnished
Apartment Derkinderenstraat 180,1061 VX Amsterdam (Overtoomse Veld),"€2,300 per month",101 m²/4 rooms/2008,101 m²,4 rooms,2008
Apartment Hendrik Jacobszstraat,1075 PE Amsterdam (Willemspark),"€4,000 per month",142 m²/6 rooms/17 m²,142 m²,6 rooms,17 m²
Apartment Amstelveld 17 II/III,1017 JD Amsterdam (Grachtengordel-Zuid),"€2,900 per month",115 m²/2 rooms/Upholstered,115 m²,2 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal 18 4,1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde),"€3,250 per month",100 m²/3 rooms/Furnished,100 m²,3 rooms,Furnished
House Groenlandstraat,1060 MG Amsterdam (Middelveldsche Akerpolder),"€2,400 per month",164 m²/2 rooms/Upholstered,164 m²,2 rooms,Upholstered
Apartment Swammerdamstraat 12 C,1091 RT Amsterdam (Weesperzijde),"€2,950 per month",99 m²/4 rooms/Upholstered,99 m²,4 rooms,Upholstered
Apartment Govert Flinckstraat,1072 EL Amsterdam (Oude Pijp),"€2,650 per month",90 m²/3 rooms/Furnished,90 m²,3 rooms,Furnished
Apartment Stadionweg 180 2,1077 TC Amsterdam (Apollobuurt),"€2,300 per month",106 m²/4 rooms/Upholstered,106 m²,4 rooms,Upholstered
Apartment Leksmondhof,1108 ET Amsterdam (Nellestein),"€1,750 per month",70 m²/3 rooms/1975,70 m²,3 rooms,1975
Apartment Leliegracht,1016 GN Amsterdam (Grachtengordel-West),"€3,950 per month",124 m²/3 rooms/Upholstered or furnished,124 m²,3 rooms,Upholstered or furnished
Apartment Leidsegracht 113 3,1017 ND Amsterdam (De Weteringschans),"€3,650 per month",149 m²/4 rooms/Furnished,149 m²,4 rooms,Furnished
Apartment Cornelis Anthoniszstraat,1071 VS Amsterdam (Museumkwartier),"€1,850 per month",55 m²/2 rooms/Furnished,55 m²,2 rooms,Furnished
Apartment Tweede Helmersstraat 30 34,1054 CK Amsterdam (Helmersbuurt),"€2,700 per month",120 m²/4 rooms/Upholstered,120 m²,4 rooms,Upholstered
Apartment Warmoesstraat,1012 JD Amsterdam (Burgwallen-Oude Zijde),"€2,150 per month",90 m²/2 rooms/Furnished,90 m²,2 rooms,Furnished
Apartment Govert Flinckstraat,1072 EM Amsterdam (Oude Pijp),"€3,900 per month",122 m²/4 rooms/Furnished,122 m²,4 rooms,Furnished
Apartment Ertskade 254,1019 BB Amsterdam (Oostelijk Havengebied),"€2,800 per month",127 m²/4 rooms/Upholstered,127 m²,4 rooms,Upholstered
Apartment Reimersbeek 1,1082 AE Amsterdam (Buitenveldert-Oost),"€2,500 per month",154 m²/7 rooms/Upholstered,154 m²,7 rooms,Upholstered
Apartment Groenmarktkade 16,1016 TA Amsterdam (Jordaan),"€3,750 per month",125 m²/3 rooms/Upholstered,125 m²,3 rooms,Upholstered
House Eliza van Calcarstraat 5,1068 RR Amsterdam (Osdorp-Oost),"€2,600 per month",144 m²/4 rooms/Upholstered,144 m²,4 rooms,Upholstered
Apartment Marco Polostraat,1057 WR Amsterdam (Hoofdweg e.o.),"€1,850 per month",55 m²/2 rooms/Furnished,55 m²,2 rooms,Furnished
Apartment Ditlaar,1066 EE Amsterdam (Sloter-/Riekerpolder),"€1,950 per month",40 m²/1 room/Furnished,40 m²,1 room,Furnished
Apartment Prins Hendrikkade,1012 TK Amsterdam (Burgwallen-Nieuwe Zijde),"€2,500 per month",79 m²/3 rooms/Furnished,79 m²,3 rooms,Furnished
Studio Veerstraat 11 4,1075 SL Amsterdam (Schinkelbuurt),€750 per month,12 m²/2 rooms/Furnished,12 m²,2 rooms,Furnished
Room Leenhofstraat 31,1067 KX Amsterdam (Geuzenveld),€490 per month,5 m²/1 room/Upholstered,5 m²,1 room,Upholstered
Studio Pietersbergweg,1105 BM Amsterdam (Amstel III/Bullewijk),"€1,065 per month",42 m²/2 rooms/Furnished,42 m²,2 rooms,Furnished
Studio Pietersbergweg,1105 BM Amsterdam (Amstel III/Bullewijk),€805 per month,17 m²/2 rooms/Furnished,17 m²,2 rooms,Furnished
Apartment Da Costastraat 55 H,1053 ZE Amsterdam (Da Costabuurt),"€2,250 per month",67 m²/2 rooms/Furnished,67 m²,2 rooms,Furnished
Apartment Sint Jacobsstraat 26,1012 NC Amsterdam (Burgwallen-Nieuwe Zijde),"€3,500 per month",110 m²/3 rooms/Furnished,110 m²,3 rooms,Furnished
Apartment Tintorettostraat 10 II,1077 RT Amsterdam (Apollobuurt),"€5,750 per month",205 m²/6 rooms/Furnished,205 m²,6 rooms,Furnished
Apartment Admiraal De Ruijterweg,1056 ET Amsterdam (Geuzenbuurt),"€2,375 per month",55 m²/2 rooms/Furnished,55 m²,2 rooms,Furnished
Apartment Spuistraat,1012 SR Amsterdam (Burgwallen-Nieuwe Zijde),"€2,100 per month",70 m²/2 rooms/Furnished,70 m²,2 rooms,Furnished
Apartment Korte Ouderkerkerdijk 1 D3,1096 AC Amsterdam (Omval/Overamstel),"€7,000 per month",196 m²/4 rooms/Upholstered,196 m²,4 rooms,Upholstered
Apartment Zuid-Hollandstraat 94 2,1082 EM Amsterdam (Buitenveldert-West),"€2,300 per month",76 m²/2 rooms/Furnished,76 m²,2 rooms,Furnished
Apartment Winterjanpad,1036 KN Amsterdam (Tuindorp Oostzaan),"€2,995 per month",130 m²/5 rooms/Upholstered,130 m²,5 rooms,Upholstered
House Bloemendalergouw,1028 BJ Amsterdam (Waterland),"€2,500 per month",158 m²/4 rooms/Furnished,158 m²,4 rooms,Furnished
Apartment Eerste Constantijn Huygensstraat 54 H,1054 BR Amsterdam (Helmersbuurt),"€2,750 per month",115 m²/3 rooms/Upholstered or furnished,115 m²,3 rooms,Upholstered or furnished
Apartment Beulingstraat 4 E,1017 BA Amsterdam (Grachtengordel-Zuid),"€2,350 per month",69 m²/2 rooms/Furnished,69 m²,2 rooms,Furnished
Apartment Van Breestraat 169 2,1071 ZM Amsterdam (Museumkwartier),"€4,750 per month",152 m²/5 rooms/Upholstered,152 m²,5 rooms,Upholstered
Apartment Tweede Jan Steenstraat,1074 CM Amsterdam (Oude Pijp),"€1,300 per month",30 m²/2 rooms/Upholstered,30 m²,2 rooms,Upholstered
Apartment De Boelelaan,1082 RA Amsterdam (Buitenveldert-West),"€2,400 per month",84 m²/3 rooms/1964,84 m²,3 rooms,1964
Apartment Kleiburg,"1104 EA Amsterdam (Bijlmer Oost (E,G,K))","€1,395 per month",68 m²/3 rooms/Upholstered,68 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal 118 H,1012 SH Amsterdam (Burgwallen-Nieuwe Zijde),"€2,200 per month",77 m²/3 rooms/Upholstered,77 m²,3 rooms,Upholstered
Apartment Hendrik Jacobszstraat,1075 PD Amsterdam (Willemspark),"€2,750 per month",115 m²/4 rooms/Upholstered,115 m²,4 rooms,Upholstered
Apartment Frederik Hendrikstraat 119 B,1052 HN Amsterdam (Frederik Hendrikbuurt),"€2,250 per month",76 m²/3 rooms/1992,76 m²,3 rooms,1992
Apartment Sarphatistraat 14 N,1017 WS Amsterdam (De Weteringschans),"€2,750 per month",93 m²/2 rooms/Upholstered,93 m²,2 rooms,Upholstered
Apartment Scheldeplein,1078 GR Amsterdam (Scheldebuurt),"€5,750 per month",131 m²/3 rooms/Upholstered,131 m²,3 rooms,Upholstered
Apartment Scheldeplein,1078 GR Amsterdam (Scheldebuurt),"€3,500 per month",81 m²/2 rooms/Upholstered,81 m²,2 rooms,Upholstered
Apartment Scheldeplein,1078 GR Amsterdam (Scheldebuurt),"€5,500 per month",117 m²/3 rooms/Upholstered,117 m²,3 rooms,Upholstered
Apartment Talbotstraat,1087 DM Amsterdam (IJburg West),"€2,250 per month",90 m²/3 rooms/Furnished,90 m²,3 rooms,Furnished
Apartment Groenmarktkade 16,1016 TA Amsterdam (Jordaan),"€3,750 per month",125 m²/3 rooms/Upholstered,125 m²,3 rooms,Upholstered
Apartment Wamberg 79,1083 CZ Amsterdam (Buitenveldert-Oost),"€2,450 per month",130 m²/4 rooms/Furnished,130 m²,4 rooms,Furnished
Apartment Borssenburgstraat,1078 VB Amsterdam (IJselbuurt),"€1,495 per month",35 m²/2 rooms/Furnished,35 m²,2 rooms,Furnished
Apartment Eerste Helmersstraat 158 2,1054 EK Amsterdam (Helmersbuurt),"€1,895 per month",57 m²/2 rooms/Upholstered,57 m²,2 rooms,Upholstered
Apartment Wilhelminastraat 213 hs,1054 WG Amsterdam (Overtoomse Sluis),"€3,000 per month",100 m²/4 rooms/Upholstered,100 m²,4 rooms,Upholstered
